"index","mzmed","rtmed","matched","qSvsMB","qSvsNC","modelPredicted","predictVal","BLANK.A_0","BLANK.A_0.5","BLANK.A_1","BLANK.A_2","BLANK.A_3","BLANK.A_4","BLANK.A_5","BLANK.A_6","BLANK.A_7","BLANK.A_8","BLANK.A_9","BLANK.A_10","BLANK.A_11","BPF.A1_0","BPF.A1_0.5","BPF.A1_1","BPF.A1_2","BPF.A1_3","BPF.A1_4","BPF.A1_5","BPF.A1_6","BPF.A1_7","BPF.A1_8","BPF.A1_9","BPF.A1_10","BPF.A2_0","BPF.A2_0.5","BPF.A2_1","BPF.A2_2","BPF.A2_3","BPF.A2_4","BPF.A2_5","BPF.A2_6","BPF.A2_7","BPF.A2_8","BPF.A2_9","BPF.A2_10","BPF.B_0","BPF.B_0.5","BPF.B_1","BPF.B_2","BPF.B_3","BPF.B_4","BPF.B_5","BPF.B_6","BPF.B_7","BPF.B_8","BPF.B_9","BPF.B_10"
10102,168.979673063804,11.7399176954732,0,0.796200277661031,0.920877766422653,1,0.144,14444.9995117188,12599.5942382812,12975.0737304688,24589.5830078125,9005.59228515625,8287.24267578125,9130.2255859375,10139.9736328125,8035.427734375,9786.97509765625,9897.51171875,9935.87158203125,10103.578125,17122.251953125,22648.322265625,24677.3994140625,16523.4638671875,8823.66796875,8488.43969726562,9413.18310546875,12077.447265625,8097.68579101562,9020.56494140625,9900.7568359375,9307.9853515625,17312.7915039062,17585.0307617188,16646.0029296875,10772.2368164062,7244.68676757812,8046.55224609375,7653.0146484375,9042.05859375,10230.1557617188,10198.7895507812,17820.9187011719,9921.22119140625,9117.2919921875,11375.5932617188,9210.7900390625,10296.9604492188,8930.25048828125,8486.60107421875,8263.11645507812,10712.1967773438,10747.310546875,10096.31640625,10446.6049804688,11179.568359375
10105,356.920835812887,1.13958333333333,0,42480037231445.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4191.55053710938,4168.76635742188,4372.0126953125,4402.015625,4326.283203125,4145.81860351562,4320.00341796875,5084.54467773438,4508.3037109375,3897.3515625,2363.24243164062,5196.15185546875
10106,217.020308227539,1.224,0,5.63821470012894e-12,5.02582692164994,0,0,0,0,0,0,0,458.115386962891,0,700.686706542969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,425.666656494141,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10108,426.893815665409,1.13448275862069,0,9.69472188928456,1.57061824259043,0,0,0,1197.87780761719,0,0,0,0,0,0,0,0,0,0,0,0,1408.02307128906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2154.70239257812,2400.46142578125,0,2270.0322265625,0,0,0,0
10109,468.881426493327,1.14,0,10333022054036.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3781.69079589844,0,2029.48083496094,0,0,1928.412109375,2257.21923828125,0,0,2402.82348632812,0
10113,257.018424987793,1.22115384615385,0,5.15065328212532,2.24008322835269e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,572.935485839844,0,498.453277587891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2759.17602539062,0,0,0,0,0,0,0,0,0,0
10116,160.841362258135,2.1864406779661,0,996409505208.333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1195.69140625,0,0
10117,982.986072430395,4.81604938271603,0,0.44131831172859,1.01911641179196,0,0,12362.3662109375,15016.7919921875,17235.7626953125,18965.1865234375,32045.9931640625,30252.556640625,25013.6884765625,35446.8837890625,26590.478515625,39394.3193359375,38393.927734375,34073.919921875,36568.580078125,10290.5380859375,9947.568359375,15831.447265625,25630.0517578125,24192.65234375,26253.662109375,28020.95703125,52415.75,28665.6767578125,34134.85546875,42557.466796875,44831.296875,10751.1147460938,9028.26318359375,19310.205078125,21266.4072265625,32668.736328125,29823.083984375,28571.83984375,39612.677734375,21770.4326171875,38814.0751953125,26662.7841796875,33561.5966796875,7376.21142578125,8970.87255859375,10214.537109375,7158.14721679688,8712.580078125,8234.509765625,8899.85083007812,16131.0581054688,13951.3325195312,16154.1694335938,17314.7065429688,21328.4072265625
10118,160.841332011753,2.55833333333333,0,12.0118507714654,1.10939742703625e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1375.52502441406,0,0,787.8115234375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1041.60949707031,1294.93884277344,2461.81982421875,3894.89331054688,1825.89624023438,2473.68017578125
10119,328.021599786932,1.23454545454545,0,20032063395182.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3987.27172851562,2156.72729492188,1924.54443359375,2182.71606445312,4634.23266601562,2511.09838867188,2230.00219726562,2307.60229492188,2104.28100585938,0,0,0
